0xdf0,Flag 1 - 8,Flag 9 - 16,Flag 17 - 24,Flag 25 - 32,Flag 33 - 40,Flag 41 - 48,Flag 49 - 56,Flag 57 - 63,Character Pointer,Face Pointer,Asset Pointer,Character Name Pointer,Character Description Pointer,Attack Stance Pointer,Defense Stance Pointer,Character ID,Support Route,Army ID,Replace this Character ID from GameData,Parent,Class 1,Class 2,Support ID,Level,Internal level,Enemy/Ally Flag,##UNKNOWN##,Base HP,Base Strength,Base Magic,Base Skill,Base Speed,Base Luck,Base Defense,Base Resistance,HP Growth,Strength Growth,Magic Growth,Skill Growth,Speed Growth,Luck Growth,Defense Growth,Resistance Growth,HP Modifier,Strength Modifier,Magic Modifer,Skill Modifier,Speed Modifier,Luck Modifier,Defense Modifier,Resistance Modifier,##UNKNOWN##,Sword/Katana Rank,Lance/Naginata Rank,Axe/Club Rank,Shuriken/Dagger Rank,Bow/Yumi Rank,Tome/Scroll Rank,Staff/Rod Rank,Stone Rank,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill Flags 1 - 8,Skill Flags 9 - 16,Personal Skill (Birthright),Personal Skill (Conquest),Personal Skill (Revelation),Day of birth,Month of birth,Reclass option 1,Reclass Option 2,Parent ID,Child ID,Support Index (parent - child and sibling support),Level Cap / 10,Amiibo,Combat Music Pointer,Enemy Voice Pointer,Amiibo weapon 1,Amiibo weapon 2,##UNKNOWN##
None,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2653e,0x0,0x0,0x2b0f1,0x0,0xa538,0xa628,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xffff,1,-1,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,0,0x0,0x0,0x0,0x0,0x0
Corrin (M),0x6,0x0,0x80,0x0,0x8,0x0,0x0,0x0,0x26547,0x0,0x2b0fb,0x0,0x2b10c,0xa54c,0xa650,0x1,0x7,0x2,0x0,0x0,0x3,0x1,0x1,1,-1,1,0x0,2,1,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,1,0,0,0,0,0,0,21,0x6a,0x0,0x0,0x0,0x0,0xff,0x7f,0xa0,0xa0,0xa0,0,0,0x0,0x0,0x0,0xffff,2281,0,0,0x0,0x0,0x0,0x0,0x0
Corrin (F),0x7,0x0,0x80,0x0,0x8,0x0,0x0,0x0,0x26558,0x0,0x2b11e,0x0,0x2b10c,0xa54c,0xa650,0x2,0x7,0x2,0x0,0x0,0x4,0x2,0x2,1,-1,1,0x0,2,1,1,3,1,3,1,0,45,45,30,40,45,45,35,25,0,0,0,0,0,0,0,0,0x0,1,0,0,0,0,0,0,21,0x6a,0x0,0x0,0x0,0x0,0xff,0x7f,0xa0,0xa0,0xa0,0,0,0x0,0x0,0x1,0xffff,2287,0,0,0x0,0x0,0x0,0x0,0x0
Gunter,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x26569,0x2b12f,0x2b13e,0x2b14d,0x2b15d,0xa560,0xa678,0x3,0x2,0x2,0x0,0x0,0xb,0x9,0x42,3,5,1,0x0,3,0,0,9,2,6,0,2,15,5,0,5,0,15,5,5,0,2,0,1,-2,0,2,-2,0x0,21,51,21,0,0,0,0,0,0x33,0x2c,0x0,0x0,0x0,0xff,0x7f,0xa1,0xa1,0xa1,6,13,0x17,0x45,0x2,0xffff,2347,2,0,0x0,0x0,0x0,0x0,0x0
Felicia,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x26578,0x2b16f,0x2b17e,0x2b18d,0x2b19d,0xa574,0xa6a0,0x4,0x7,0x2,0x0,0x0,0x5e,0x5c,0x1d,1,0,1,0x5,1,4,4,1,2,8,0,5,40,35,35,30,40,55,15,35,0,-2,2,0,1,0,-1,1,0x0,0,0,0,21,0,0,21,0,0x8,0x4a,0x0,0x0,0x0,0xff,0x7f,0xa2,0xa2,0xa2,2,19,0x18,0x0,0x3,0xffff,2350,4,0,0x0,0x0,0x0,0x0,0x0
Jakob,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x26587,0x2b1af,0x2b1be,0x2b1cd,0x2b1dd,0xa588,0xa6c8,0x5,0x7,0x2,0x0,0x0,0x5d,0x5b,0xa,1,0,1,0x5,3,4,1,3,1,6,2,2,50,30,15,40,35,45,25,25,0,2,-2,2,0,-1,0,-1,0x0,0,0,0,21,0,0,21,0,0x8,0x49,0x0,0x0,0x0,0xff,0x7f,0xa3,0xa3,0xa3,12,3,0x9,0x0,0x4,0xffff,2410,4,0,0x0,0x0,0x0,0x0,0x0
Rinkah,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x26596,0x2b1ef,0x2b1fa,0x2b205,0x2b211,0xa588,0xa6f0,0x6,0x5,0x2,0x0,0x0,0x28,0x26,0x17,4,-1,1,0x0,2,2,1,4,3,5,3,2,20,25,15,50,45,35,45,20,0,-1,0,-2,1,0,2,0,0x0,0,0,1,0,0,0,0,0,0xf,0x0,0x0,0x0,0x0,0xff,0x7f,0xa4,0xa4,0xa4,2,5,0x4c,0x0,0x5,0xffff,2419,0,0,0x0,0x0,0x0,0x0,0x0
Kaze,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x265a1,0x2b21f,0x2b22c,0x2b239,0x2b247,0xa59c,0xa718,0x7,0x7,0x2,0x0,0x0,0x4b,0x49,0xc,3,-1,1,0x0,3,4,0,1,4,3,2,7,55,40,0,45,65,20,20,35,0,-2,0,2,3,-2,-1,1,0x0,0,0,0,21,0,0,0,0,0x70,0x0,0x0,0x0,0x0,0xff,0x7f,0xa5,0xa5,0xa5,10,2,0x21,0x0,0x6,0xffff,2461,0,0,0x0,0x0,0x0,0x0,0x0
Sakura,0x1,0x0,0x0,0x0,0x8,0x40,0x0,0x0,0x265ae,0x2b257,0x2b262,0x2b26d,0x2b279,0xa5b0,0xa740,0x8,0x5,0x2,0x0,0x0,0x36,0x38,0x16,1,-1,1,0x0,0,3,3,0,2,5,3,2,45,50,50,40,40,55,30,20,0,0,2,-1,1,0,-1,0,0x0,0,0,0,0,0,0,1,0,0x24,0x0,0x0,0x0,0x0,0xff,0x7f,0xa7,0xa7,0xa7,4,9,0x3c,0x0,0x7,0xffff,2470,0,0,0x0,0x0,0x0,0x0,0x0
Azura,0x1,0x0,0x0,0x0,0x8,0x40,0x0,0x0,0x265b9,0x2b287,0x2b292,0x2b29d,0x2b2a9,0xa574,0xa768,0x9,0x7,0x2,0x0,0x0,0x67,0x0,0x1e,1,-1,1,0x0,0,2,2,2,3,3,2,4,25,50,25,60,60,40,15,35,0,0,0,1,3,0,-3,0,0x0,0,1,0,0,0,0,0,0,0x6,0x0,0x0,0x0,0x0,0xff,0x7f,0xa6,0xa6,0xa6,3,3,0x3c,0x0,0x8,0xffff,2506,0,0,0x0,0x0,0x0,0x0,0x0
