0x5b8,Flag 1 - 8,Flag 9 - 16,Flag 17 - 24,Flag 25 - 32,Flag 33 - 40,Flag 41 - 48,Flag 49 - 56,Flag 57 - 63,Character Pointer,Face Pointer,Asset Pointer,Character Name Pointer,Character Description Pointer,Attack Stance Pointer,Defense Stance Pointer,Character ID,Support Route,Army ID,Replace this Character ID from GameData,Parent,Class 1,Class 2,Support ID,Level,Internal level,Enemy/Ally Flag,##UNKNOWN##,Base HP,Base Strength,Base Skill,Base Speed,Base Luck,Base Defense,Base Resistance,Base Mov,HP Cap,Strength Cap,Skill Cap,Speed Cap,Luck Cap,Defense Cap,Resistance Cap,Mov Cap,HP Growth,Strength Growth,Skill Growth,Speed Growth,Luck Growth,Defense Growth,Resistance Growth,Mov Growth,##UNKNOWN##,Sword/Katana Rank,Lance/Naginata Rank,Axe/Club Rank,Shuriken/Dagger Rank,Bow/Yumi Rank,Tome/Scroll Rank,Staff/Rod Rank,Stone Rank,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill Flags 1 - 8,Skill Flags 9 - 16,Personal Skill (Birthright),Personal Skill (Conquest),Personal Skill (Revelation),Day of birth,Month of birth,Reclass option 1,Reclass Option 2,Parent ID,Child ID,Support Index (parent - child and sibling support),Level Cap / 10,Amiibo,Combat Music Pointer,Enemy Voice Pointer,Amiibo weapon 1,Amiibo weapon 2,unk,unk,unk,unk,unk
None,0x9c,0x5,0x0,0x0,0xab,0x1b,0x1,0x0,0x134a6,0x134b0,0x134bb,0x0,0x0,0x134c8,0x10100,0x0,0x0,0x3f,0x1e,0x0,0x4b00,0x32,0x0,0,0,0,0x0,1,0,0,0,0,0,0,0,52,40,40,40,40,40,40,40,0,0,0,0,0,0,0,0,0x134d10000000000000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0x0,0x0,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Alm,0x0,0x0,0x0,0x0,0xb4,0x1b,0x1,0x0,0x134de,0x134ea,0x130f9,0x134f5,0x13500,0x1350e,0x1010100,0x0,0x0,0x3f,0x11,0x2,0x4b00,0x32,0x0,0,0,0,0x0,28,10,7,6,7,5,4,0,52,41,41,39,39,41,40,40,60,50,55,45,35,50,3,0,0x1352b000135200001351b00000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x30c6,1,0,0x30c6,0x1,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Lukas,0x0,0x0,0x0,0x0,0xbf,0x1b,0x1,0x0,0x1353a,0x13544,0x13104,0x13555,0x1355e,0x1350e,0x1010200,0x6666,0xe6,0x3e,0x18,0x2,0x4b00,0x32,0x0,0,0,50,0x0,22,10,4,4,2,5,2,0,52,40,40,38,40,42,40,40,50,30,40,25,30,45,2,0,0x1356f0001356a00000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x30c6,1,0,0x30c6,0x1,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Gray,0x0,0x0,0x0,0x0,0xc8,0x1b,0x1,0x0,0x1357e,0x134b0,0x1310d,0x1358a,0x13595,0x1350e,0x1010500,0x6666,0xe6,0x3e,0x12,0x2,0x4b00,0x32,0x0,0,0,25,0x0,24,9,4,4,2,4,2,0,52,42,39,40,40,39,40,40,45,40,30,30,25,25,0,0,0x1356f000135a300000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2d8a,1,0,0x2d8a,0x1,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Tobin,0x0,0x0,0x0,0x0,0xd3,0x1b,0x1,0x0,0x135a8,0x134b0,0x13118,0x135b4,0x135bf,0x1350e,0x1010200,0x0,0x0,0x3f,0x11,0x2,0x4b00,0x32,0x0,0,0,25,0x0,22,7,2,6,4,3,4,0,52,39,42,39,40,40,40,40,40,30,50,25,30,30,0,0,0x1356f000135cd00000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2d96,1,0,0x2d96,0x1,0x35d3,0x1,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Kliff,0x0,0x0,0x0,0x0,0xde,0x1b,0x1,0x0,0x135e0,0x134b0,0x13123,0x135ec,0x135f7,0x1350e,0x1010100,0xcccd,0xcc,0x3e,0xf,0x2,0x4b00,0x32,0x0,0,0,25,0x0,20,7,1,2,10,3,8,0,52,40,39,41,39,41,40,40,35,30,45,60,20,40,0,0,0x1360500000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2da2,1,0,0x2da2,0x1,0x360b,0x1,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Silque,0x0,0x0,0x0,0x0,0xe9,0x1b,0x1,0x0,0x13614,0x13620,0x1312e,0x1362f,0x1363a,0x1350e,0x1010101,0x999a,0x19,0x3f,0x13,0x2,0x4b00,0x32,0x0,0,0,50,0x0,18,8,3,4,4,1,11,0,52,40,40,39,41,40,40,40,45,40,35,30,60,40,2,0,0x1364800000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x30c6,1,0,0x2dae,0x1,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Clair,0x0,0x0,0x0,0x0,0xf4,0x1b,0x1,0x0,0x1364d,0x13659,0x13139,0x1366e,0x13679,0x1350e,0x1010101,0x6666,0xe6,0x3e,0x12,0x2,0x4b00,0x32,0x0,0,0,50,0x0,20,8,4,7,11,4,8,0,52,40,40,41,41,38,40,40,35,40,55,70,50,30,2,0,0x1356f0001368700000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x30c6,1,0,0x30d4,0x1,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Clive,0x0,0x0,0x0,0x0,0xff,0x1b,0x1,0x0,0x1368c,0x1369a,0x13144,0x136a7,0x136b4,0x1350e,0x1010600,0x0,0x0,0x3f,0x1b,0x2,0x4b00,0x32,0x0,0,0,100,0x0,26,12,7,7,6,7,1,0,52,42,40,39,40,39,40,40,55,40,35,25,25,30,2,0,0x1356f000136c400000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x30c6,1,0,0x30c6,0x1,0x36cb,0x1,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Forsyth,0x0,0x0,0x0,0x0,0xc,0x1c,0x1,0x0,0x136d6,0x13544,0x13151,0x136e4,0x136f1,0x1350e,0x1010400,0x0,0x0,0x3f,0x19,0x2,0x4b00,0x32,0x0,0,0,50,0x0,28,11,4,5,3,7,5,0,52,40,39,41,40,40,40,40,40,40,30,40,40,30,3,0,0x1370100000000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x30c6,1,0,0x30c6,0x1,0x0,0x0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
