,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xd3,Base HP,Base STR,Base DEX,Base SPD,Base DEF,Base RES,Base LCK,Growth HP,Growth STR,GDEX,Growth SPD,Growth DEF,Growth RES,Growth LCK,Name,Level,Class,HP,Str,Mag,Dex,Spd,Def,Res,Lck,Bld,Mov,Name,HP,Str,Mag,Dex,Spd,Def,Res,Lck,Bld
Alear,,,,,,,,,,,,,,,,1,Dragon Child,22,6,0,5,7,5,3,5,4,4,Alear,60,35,20,45,50,40,25,25,5
Alear,,,,,,,,,,,,,,,,1,Paladin,40,11,5,10,8,10,8,6,8,6,Vander,60,25,10,25,35,35,20,10,5
Vander,,,,,,,,,,,,,,,,1,Mage,19,1,8,11,9,4,7,4,4,4,Clanne,40,35,10,40,50,30,25,20,5
Clanne,,,,,,,,,,,,,,,,1,Martial Monk,18,3,5,8,7,4,8,5,3,4,Framme,55,30,25,35,55,25,30,25,0
Framme,,,,,,,,,,,,,,,,5,Noble,27,9,2,10,6,8,5,8,6,5,Alfred,65,40,5,35,40,40,20,40,10
Alfred,,,,,,,,,,,,,,,,4,Archer,21,10,0,11,6,3,2,8,4,4,Etie,45,40,0,25,35,25,30,25,5
Etie,,,,,,,,,,,,,,,,4,Axe Fighter,29,10,0,8,7,6,3,5,9,4,Boucheron,85,20,0,50,45,35,20,15,20
Boucheron,,,,,,,,,,,,,,,,5,Noble,22,7,9,9,10,5,7,11,4,4,Céline,50,35,25,30,45,30,40,50,5
Céline,,,,,,,,,,,,,,,,6,Lance Flier,26,8,4,13,13,5,9,10,5,5,Chloé,75,25,35,40,55,30,25,25,5
Chloé,,,,,,,,,,,,,,,,6,Lance Armor,30,13,0,11,3,16,1,4,8,4,Louis,75,40,0,25,25,50,20,25,15
Louis,,,,,,,,,,,,,,,,6,Thief,25,8,5,14,12,9,7,8,5,5,Yunaka,50,35,25,40,45,15,45,25,5
Yunaka,,,,,,,,,,,,,,,,10,Lord,28,11,2,17,12,8,5,8,6,4,Alcryst,65,30,10,40,45,30,20,15,10
Alcryst,,,,,,,,,,,,,,,,10,Mage,24,2,15,13,10,3,12,10,4,4,Citrinne,45,10,40,25,30,20,40,25,5
Citrinne,,,,,,,,,,,,,,,,10,Sword Fighter,26,11,2,12,14,7,6,7,5,4,Lapis,55,25,20,35,55,35,30,25,5
Lapis,,,,,,,,,,,,,,,,11,Lord,32,13,3,13,13,10,6,10,9,4,Diamant,75,30,15,20,40,40,25,20,15
Diamant,,,,,,,,,,,,,,,,11,Lance Cavalier,31,15,2,13,11,9,3,9,8,5,Amber,65,45,0,25,30,35,5,35,15
Amber,,,,,,,,,,,,,,,,12,Axe Armor,33,14,4,14,5,18,6,5,8,4,Jade,55,35,25,35,30,40,30,20,10
Jade,,,,,,,,,,,,,,,,17,Wing Tamer,32,7,17,15,13,12,15,4,7,5,Ivy,55,25,30,25,40,30,35,15,10
Ivy,,,,,,,,,,,,,,,,1,Swordmaster,35,17,5,22,22,14,10,17,9,5,Kagetsu,60,30,15,50,50,40,25,40,10
Kagetsu,,,,,,,,,,,,,,,,17,Thief,35,15,3,19,19,14,5,7,9,5,Zelkov,65,35,15,40,35,35,15,25,10
Zelkov,,,,,,,,,,,,,,,,17,Sentinel,33,12,7,17,18,10,11,8,8,5,Fogado,60,30,25,30,55,30,35,25,10
Fogado,,,,,,,,,,,,,,,,1,High Priest,34,7,16,18,17,8,22,14,8,5,Pandreo,60,5,30,45,45,15,55,30,15
Pandreo,,,,,,,,,,,,,,,,1,Great Knight,41,15,5,15,9,20,8,13,11,6,Bunet,65,30,10,40,35,45,25,40,10
Bunet,,,,,,,,,,,,,,,,18,Sentinel,35,14,6,17,18,16,8,10,5,4,Timerra,55,25,25,45,45,30,30,30,10
