INLINE gCharacterDataFE10,Name,Description,ID,Support Class,Portrait,Map Portrait,Affinity,Unit Sort Order,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,N/A,N/A,N/A,N/A,N/A,CharClassAbility,Support Data Ptr,N/A (Conversation Group),N/A,N/A,N/A
Ike,IkeName,IkeDesc,0x01,IkeLord,IkeMug,0x00,EarthAffinity,0x01,1,1,2,3,3,0,0,0,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,75,50,50,55,40,40,35,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebac,0x7,0x0,0x0,0x0
Titania,TitaniaName,TitaniaDesc,0x02,Paladin,TitaniaMug,0x00,WindAffinity,0x0F,1,10,5,9,7,3,4,11,-3,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,80,45,60,50,40,45,45,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebdc,0x3,0x0,0x0,0x0
Oscar,OscarName,OscarDesc,0x03,LanceKnight,OscarMug,0x00,FireAffinity,0x2E,3,6,1,4,2,2,0,5,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,55,45,50,45,35,30,30,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec0c,0x4,0x0,0x0,0x0
Boyd,BoydName,BoydDesc,0x04,Fighter,BoydMug,0x00,EarthAffinity,0x1D,2,6,2,1,3,2,0,4,-2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,75,60,50,45,25,25,35,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebf4,0x3,0x0,0x0,0x0
Rhys,RhysName,RhysDesc,0x05,Priest,RhysMug,0x00,LightAffinity,0x13,4,4,7,5,2,-1,6,8,-1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,40,60,50,40,25,55,50,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec24,0x4,0x0,0x0,0x0
Shinon,ShinonName,ShinonDesc,0x06,Sniper,ShinonMug,0x00,WindAffinity,0x34,1,11,4,7,8,3,4,9,-1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,75,65,70,65,50,40,35,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec3c,0xa,0x0,0x0,0x0
Gatrie,GatrieName,GatrieDesc,0x07,Knight,GatrieMug,0x00,WaterAffinity,0x19,9,11,7,4,5,5,0,5,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,80,55,55,25,60,30,25,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec6c,0x5,0x0,0x0,0x0
Soren,SorenName,SorenDesc,0x08,Mage,SorenMug,0x00,DarkAffinity,0x06,1,2,5,6,5,-1,4,5,-3,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,45,60,55,40,15,55,30,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec9c,0x7,0x0,0x0,0x0
Mia,MiaName,MiaDesc,0x09,Myrmidon,MiaMug,0x00,FireAffinity,0x1B,6,6,4,5,7,4,1,6,-1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,50,40,45,60,20,25,45,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec84,0x0,0x0,0x0,0x0
Ilyana,IlyanaName,IlyanaDesc,0x0A,Mage,IlyanaMug,0x00,LightningAffinity,0x31,6,4,7,8,6,0,7,6,-4,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,45,50,45,30,15,50,45,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec54,0x1,0x0,0x0,0x0
Marcia,MarciaName,MarciaDesc,0x0B,PegasusKnight,MarciaMug,0x00,FireAffinity,0x05,5,6,4,3,3,5,4,4,-1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,55,40,50,55,25,30,40,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed5c,0x0,0x0,0x0,0x0
Mist,MistName,MistDesc,0x0C,Cleric,MistMug,0x00,WaterAffinity,0x12,1,0,3,2,5,2,1,6,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,50,50,25,40,15,40,60,0x0,0x0,0x0,0x0,0x0,0x0,0x88aeccc,0x7,0x0,0x0,0x0
Rolf,RolfName,RolfDesc,0x0D,Archer,RolfMug,0x00,FireAffinity,0x20,1,0,2,2,3,2,2,4,-5,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,40,45,50,30,25,40,0x0,0x0,0x0,0x0,0x0,0x0,0x88aece4,0xa,0x0,0x0,0x0
Lethe,LetheName,LetheDesc,0x0E,Cat,LetheMug,0x00,HeavenAffinity,0x11,3,7,6,4,4,5,5,15,-3,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,130,50,65,70,40,25,50,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee1c,0x0,0x0,0x0,0x0
Mordecai,MordecaiName,MordecaiDesc,0x0F,Tiger,MordecaiMug,0x00,WaterAffinity,0x08,2,13,7,2,1,6,2,10,6,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,150,65,55,50,40,20,40,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebc4,0x3,0x0,0x0,0x0
Volke,VolkeName,VolkeDesc,0x10,Thief,VolkeMug,0x00,FireAffinity,0x35,10,9,9,11,4,5,3,7,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,65,50,55,65,20,10,35,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed2c,0x3,0x0,0x0,0x0
Kieran,KieranName,KieranDesc,0x11,AxeKnight,KieranMug,0x00,FireAffinity,0x0D,12,10,6,8,7,4,1,8,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,50,50,40,40,30,25,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed14,0x3,0x0,0x0,0x0
Brom,BromName,BromDesc,0x12,Knight,BromMug,0x00,FireAffinity,0x36,8,8,5,7,7,4,2,4,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,75,45,50,25,55,25,20,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee34,0x7,0x0,0x0,0x0
Nephenee,NepheneeName,NepheneeDesc,0x13,Soldier,NepheneeMug,0x00,WaterAffinity,0x1C,7,2,4,6,7,5,3,6,-2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,55,40,55,55,35,25,25,0x0,0x0,0x0,0x0,0x0,0x0,0x88aecb4,0x0,0x0,0x0,0x0
Zihark,ZiharkName,ZiharkDesc,0x14,Myrmidon,ZiharkMug,0x00,HeavenAffinity,0x10,10,8,6,8,10,4,0,6,-1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,55,45,50,60,30,20,40,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed74,0x4,0x0,0x0,0x0
Jill,JillName,JillDesc,0x15,WyvernRider,JillMug,0x00,ThunderAffinity,0x09,8,5,5,6,6,4,1,6,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,60,40,45,45,35,30,25,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed8c,0x7,0x0,0x0,0x0
