Character Name,Character Notes,Character Set,Player or Boss,Class Name,Class Notes 1,Class Notes 2,FE6 Hex Address,FE7 Hex Address,FE8 Hex Address,Palette Hex
Alear,Male,FE17: Engage,Player,RoyLord,,,1,C8,C8,5553FF7FFF6B1F4B91252371467EC24C9877F36E2D56DF7B3A6795524B29A514
Alear,Male,FE17: Engage,Player,RoyMasterLord,,,43,C9,C9,5553FF7FFF6B1F4B91252371467EC24C9877F36E2D56DF7B3A6795524B29A514
Alear,Male,FE17: Engage,Player,Mercenary,,FE6 ver.,2,,,5553FF7F4B293A674E5A9877467E2371F36EDF7BFF6B9E4B4F199C42C24CA514
Alear,Male,FE17: Engage,Player,Mercenary,Male,FE7/8 ver.,,0A,0F,007EFF7F4E193A670C529877467E2371F36EDF7BDF5FD621C24C1F4B4B29A514
Alear,Male,FE17: Engage,Player,Hero,Male,,4,0C,11,007EFF7FFF6B1F4B2E1D467E2371C24C9877F36E4E5ADF7B3A679552372EA514
Alear,Male,FE17: Engage,Player,Ranger,Male,,,,1D,5553FF7FFF4BBD2EF41D3A67467E2371FF3D1F0019000D00FC22DF7B2D11A514
Alear,Female,FE17: Engage,Player,EirikaLord,,,CA,CA,2,007EFF7FFF6B1F4B182A2E19467E2371C24CDF7B95524B291E0014000F00A514
Alear,Female,FE17: Engage,Player,EirikaMasterLord,,,CB,CB,4,5553FF7FFF5B1F4BF431907B0F77467EC24CDF7B95524B291E0014000F00A514
Alear,Female,FE17: Engage,Player,LynLord,,,C5,2,C5,007EFF7FFF6B5F33711D467E2371C24C567B6F5ECA49DD16DF7B3A679552A514
Alear,Female,FE17: Engage,Player,BladeLord,,,C7,8,C7,007EFF7FFF6B5F33711D467E2371C24C997F12770B56DD16DF7B3A679552A514
Alear,Female,FE17: Engage,Player,Myrmidon_F,Female,,7,0F,14,5553FF7FFF6B3F4B2E19467E2371C24C567B6F5ECA49DF7B3A6795524B29A514
Alear,Female,FE17: Engage,Player,Assassin_F,Female,,,3E,18,007EFF7F9D5FFB464C191E002371C24C567B6F5E1400353ADF7B95524B29A514
Alear,Female,FE17: Engage,Player,Swordmaster_F,Female,,9,11,16,007EFF7FDF57BC369125467E2371C24C767F6F5ECA49DF7B9D73B6564B29A514
Vander,,FE17: Engage,Player,Cavalier,Male,,20,28,5,007EFF7FFF5B0C7FF431867D5C6753469C73B556CE39E71C1D4736324E1DA514
Vander,,FE17: Engage,Player,Paladin,Male,,22,2A,7,007EFF7FFF6FBD2ED131FF27867DC3509C73B556CE39E71CBD7FD5660E4EA514
Vander,,FE17: Engage,Player,GreatKnight,Male,,,,35,007EDE7BFF5B1F4BB22939679452EF3D4A295A7FB57ECD599C73B556CE39A514
Clanne,,FE17: Engage,Player,Mage,Male,FE6 ver.,18,,,5553FF7FFF6B1F4B2E1938363C5F33427F5B9846B031CE6BEB52E7350419A514
