Character Name,Character Notes,Character Set,Player or Boss,Class Name,Class Notes 1,Class Notes 2,FE6 Hex Address,FE7 Hex Address,FE8 Hex Address,Palette Hex
Dimaggio,,FE4: Genealogy/Holy War,Boss,Fighter,,,0A,12,3F,007EFF7FFF6B1D475A32D62194006D003667714EAB35701DF826321E6C15A514
Dimaggio,,FE4: Genealogy/Holy War,Boss,Hero,Male,,04,0C,11,007EFF7FFF6B1F4B2E1D94006F004A003667714EAB35F826321E6C15372EA514
Dimaggio,,FE4: Genealogy/Holy War,Boss,Warrior,,,0B,13,40,007EFF7FFF6BFF465A32D6212E1918773667714EAB351052F826F019080DA514
Gerrard,,FE4: Genealogy/Holy War,Boss,Fighter,,,0A,12,3F,007EFF7FFF6B1D475A32D621F2154C0D3667714EAB35701DD61D7115EB0CA514
Gerrard,,FE4: Genealogy/Holy War,Boss,Hero,Male,,04,0C,11,007EFF7FFF6B1F4B2E1DF2158E11090D3667714EAB35D61D7115EB0C372EA514
Gerrard,,FE4: Genealogy/Holy War,Boss,Warrior,,,0B,13,40,007EFF7FFF6BFF465A32D6212E1918773667714EAB351052D61D2F15A808A514
Cimbaeth,,FE4: Genealogy/Holy War,Boss,Fighter,,,0A,12,3F,007EFF7FFF6B1D475A32D621B2186C103667714EAB35701D9A2AF4214D15A514
Cimbaeth,,FE4: Genealogy/Holy War,Boss,Hero,Male,,04,0C,11,007EFF7FFF6B1F4B2E1DB2188E14690C3667714EAB359A2AF4214D15372EA514
Cimbaeth,,FE4: Genealogy/Holy War,Boss,Warrior,,,0B,13,40,007EFF7FFF6BFF465A32D6212E1918773667714EAB3510529A2AB11DE90CA514
Munnir,,FE4: Genealogy/Holy War,Boss,Fighter,,,0A,12,3F,007EFF7FFF6B1D475A32D621B2186C103667714EAB35701DCA3A282E651DA514
Munnir,,FE4: Genealogy/Holy War,Boss,Hero,Male,,04,0C,11,007EFF7FFF6B1F4B2E1DB2188E14690C3667714EAB35CA3A282E651D372EA514
Munnir,,FE4: Genealogy/Holy War,Boss,Warrior,,,0B,13,40,007EFF7FFF6BFF465A32D6212E19FF3A3667714EAB35F525CA3AE7250415A514
Sandima,,FE4: Genealogy/Holy War,Boss,Shaman,Male,,1C,24,2D,007EFF7FFF6BDF2E2E197B1B3A169321F816F00D08092322A21901118108A514
Sandima,,FE4: Genealogy/Holy War,Boss,Druid,Male,,1E,26,2F,007EFF7FFF6B1F4B4614F650B13C6B28F816F00D08092322A21901118108A514
Sandima,,FE4: Genealogy/Holy War,Boss,Summoner,Male,,,,31,007EFF7FFF6B1F4B2E19F6508F34CE392925DF1FF816F00D2322A2190111A514
Elliot,,FE4: Genealogy/Holy War,Boss,Cavalier,Male,,20,28,05,007EFF7FFF5B090FF431060A7722AF151831D2248C18460C1D4736324E1DA514
Elliot,,FE4: Genealogy/Holy War,Boss,Paladin,Male,,22,2A,07,007EFF7FFF6F1C2FB12DFF03090F060A1831D2248C18460CBD7FD5660E4EA514
Elliot,,FE4: Genealogy/Holy War,Boss,GreatKnight,Male,,,,35,007EDE7B9C17B512CE0DF4524F3EAA2905155A7FB57ECD591831D2248C18A514
Philip,,FE4: Genealogy/Holy War,Boss,Knight,Male,,0C,14,09,007E460C8C18CE0DD224B5121831E51735579C17D239E91C6E2DDE7BFE7BA514
Philip,,FE4: Genealogy/Holy War,Boss,General,Male,,0E,16,0B,007EFF7F9C17B5126E2DE91CCE0DE704166F51568B395E3D1831D2248C18A514
Philip,,FE4: Genealogy/Holy War,Boss,GreatKnight,Male,,,,35,007EDE7B9C17B512CE0DB45E0F4A6A35C5205A7FB57ECD591831D2248C18A514
Boldor,,FE4: Genealogy/Holy War,Boss,Knight,Male,,0C,14,09,007EE10CA219CE0D8326B5124433E51735579C17D239E91C6E2DDE7BFE7BA514
Boldor,,FE4: Genealogy/Holy War,Boss,General,Male,,0E,16,0B,007EFF7F9C17B512D2248C18CE0DE704166F51568B39E53F44338326A219A514
Boldor,,FE4: Genealogy/Holy War,Boss,GreatKnight,Male,,,,35,007EDE7B9C17B512CE0DB45E0F4A6A35C5205A7FB57ECD5944338326A219A514
Macbeth,,FE4: Genealogy/Holy War,Boss,Knight,Male,,0C,14,09,007E6710CD1CCE0D342DB5129A39E51735579C1718638C31524ADE7BFE7BA514
Macbeth,,FE4: Genealogy/Holy War,Boss,General,Male,,0E,16,0B,007EFF7F9C17B512524A8C31CE0DE704166F51568B39FF499A39342DCD1CA514
Macbeth,,FE4: Genealogy/Holy War,Boss,GreatKnight,Male,,,,35,007EDE7B9C17B512CE0DB45E0F4A6A35C5205A7FB57ECD599A39342DCD1CA514
Voltz,,FE4: Genealogy/Holy War,Boss,Nomad,Male,,26,2E,,007EFF7FDF57DD3A75153011131E8E159A1EF4154D0DA708FB269722CB0CA514
Voltz,,FE4: Genealogy/Holy War,Boss,NomadTrooper,Male,,28,30,,007EFF7F7515DD3A912DEE0CFB26F2199A1EF4154D0DA708BE37971E0B1DA514
Voltz,,FE4: Genealogy/Holy War,Boss,Archer,Male,,10,18,19,007EFF7FFF6B1F4B8708FB26551E8E157515EE0C777F9A1EF4154D0DA708A514
Voltz,,FE4: Genealogy/Holy War,Boss,Sniper,Male,,12,1A,1B,007EFF7FFF6B1F4B2E19FB26551E8E157515EE0C87089A1EF4154D0DA708A514
Voltz,,FE4: Genealogy/Holy War,Boss,Ranger,Male,,,,1D,5553FF7FFF4BBD2E912DEE0CFB26F2199A1EF4154D0DA708163A75150B1DA514
Clement,,FE4: Genealogy/Holy War,Boss,Parson,,Custom,AF,AF,AF,5553F816AD3594522E191E37FF6BFF7FA514211123224433F00DF8160809F00D
Clement,,FE4: Genealogy/Holy War,Boss,Priest,,,14,,45,007EFF7FFF6B1F4B2E199452EF3D4A29FB3E352AD26A44338326A219E10CA514
Clement,,FE4: Genealogy/Holy War,Boss,Bishop,Male,FE6 ver.,16,,,5553FF7FFF6BBF222E199452AD35FF0BD509F26B036F44338326A219E10CA514
Clement,,FE4: Genealogy/Holy War,Boss,Bishop,Male,FE7/8 ver.,,1E,2B,007EFF7FFF6BFF322F199452AD35FF0B8326F26B036FF816F00DA219E10CA514
Clement,,FE4: Genealogy/Holy War,Boss,Sage,Male,,1A,22,27,007EFF7FFF6B1F4B2E199452EF3D4A29F81632128C0D44338326A219E10CA514
Zyne,,FE4: Genealogy/Holy War,Boss,Cavalier,Male,,20,28,05,007EFF7FFF5B090FF431060A942EAD1D5F291A00110009001D4736324E1DA514
Zyne,,FE4: Genealogy/Holy War,Boss,Paladin,Male,,22,2A,07,007EFF7FFF6F1C2FB12DFF03090F060A5F291A0011000900BD7FD5660E4EA514
Zyne,,FE4: Genealogy/Holy War,Boss,GreatKnight,Male,,,,35,007EDE7B9C17B512CE0DF4524F3EAA2905155A7FB57ECD595F291A001100A514
Chagall,,FE4: Genealogy/Holy War,Boss,Baron,,Custom,92,92,92,5553FF7F9C17B5121A381124CE0DE704FA5E34468D31BF3B1F275B1E9215A514
Chagall,,FE4: Genealogy/Holy War,Boss,Knight,Male,,0C,14,09,007EC9089215CE0D5B1EB5121F27E51735579C171A380D1C142CDE7BFE7BA514
Chagall,,FE4: Genealogy/Holy War,Boss,General,Male,,0E,16,0B,5553FF7F9C17B5121A381124CE0DE704FA5E34468D31BF3B1F275B1E9215A514
