Character Name,Character Notes,Character Set,Player or Boss,Class Name,Class Notes 1,Class Notes 2,FE6 Hex Address,FE7 Hex Address,FE8 Hex Address,Palette Hex
Alm,,FE2/15: Echoes,Player,AlmT1,,Custom,80,80,80,5553FF7FFF6B1F4BD72DE873E352C431147B0D5A273D4A7F677E6361023DA514
Alm,,FE2/15: Echoes,Player,AlmT2,,Custom,81,81,81,5553FF7FDE6B1F4B182AE873E352C43198772D56980850044A7F677E6361A514
Alm,,FE2/15: Echoes,Player,Mercenary,,FE6 ver.,2,,,5553FF7F023D63614E5A98774D5B8A46F36E677EFF6B9E4B4F199C42A72DA514
Alm,,FE2/15: Echoes,Player,Mercenary,Male,FE7/8 ver.,,0A,0F,007EFF7F4E1963610C5298774D5B8A46F36E677EDF5FD621A72D1F4B023DA514
Alm,,FE2/15: Echoes,Player,Hero,Male,,4,0C,11,007EFF7FFF6B1F4B2E1D4D5B8A46A72D9877F36E4E5A677E6361023D372EA514
Alm,,FE2/15: Echoes,Player,Ranger,Male,,,,1D,5553FF7FFF4BBD2EF41DCB39EB52283A0C7F677E6361023DFC22B1562D11A514
Lukas,,FE2/15: Echoes,Player,Soldier,,,30,38,4E,007EFF7FFF6B1F4B8710DC417531EE209877F36EEC51DF2D7725F018880CA514
Lukas,,FE2/15: Echoes,Player,Halberdier,,Custom,8D,8D,8D,007EFF6B1E4B182A2E19DF2D7725F018DC417531EE209877F472EC51FF7FA514
Lukas,,FE2/15: Echoes,Player,General,Male,,0E,16,0B,007EFF7FBD5FDA3A7531EE20B315A90059676E5AAA417F42DF2D7725F018A514
Gray,,FE2/15: Echoes,Player,Journeyman_1,,,,,3D,007EFF7FBB4614366E25C714D0316C25E818B52ECE1DE710787B8E5E6739A514
Gray,,FE2/15: Echoes,Player,Fighter,,,0A,12,3F,007E1E53BB4614366E252B1D6C25E818BA4A353EB031C714B52ECE1D4A15A514
Gray,,FE2/15: Echoes,Player,Hero,Male,,4,0C,11,007E1E53BB461436C714D0316C25E818BA4A353EB031B52ECE1D4A156E25A514
Gray,,FE2/15: Echoes,Player,Warrior,,,0B,13,40,007E1E53BB4614366E252A1DC714B656BA4A353EB0311142B52ECE1D4A15A514
Gray,,FE2/15: Echoes,Player,Pirate,,,32,3A,42,55531E53BB4614366E252A1DC714FF7FBA4A353EB031B52EB52ECE1D4A15A514
Gray,,FE2/15: Echoes,Player,Berserker,,,33,3B,43,007EFF7FBB4614366E252A1DC714F65A9877F36E2D56FF07B52ECE1D4A15A514
Tobin,,FE2/15: Echoes,Player,Fletchling,,Custom,9D,9D,9D,5553FF7F987FD166382670197021EB14FF6B1F4B2E19DF329E73B756CF39A514
Tobin,,FE2/15: Echoes,Player,Archer,Male,,10,18,19,007EFF7FFF6B1F4B7019D52D7021EB14DF323826777F9E73F95E544ACF39A514
Tobin,,FE2/15: Echoes,Player,Sniper,Male,,12,1A,1B,007EFF7FFF6B1F4B2E19D52D7021EB14DF32382670199E73F95E544ACF39A514
Tobin,,FE2/15: Echoes,Player,Ranger,Male,,,,1D,5553FF7FFF4BBD2EF41D544A7021EB14DF3238267019C80CFC22F95E2D11A514
Kliff,,FE2/15: Echoes,Player,Pupil_1,,,,,3E,007EFF7FFF6B1F4B2E199E67B74ECF35182A94392F2DCA1CD2596E45E92CA514
Kliff,,FE2/15: Echoes,Player,Mage,Male,FE6 ver.,18,,,5553FF7FFF6B1F4B2E1938369E67B74E94392F2DCA1C5772D2596E45E92CA514
Kliff,,FE2/15: Echoes,Player,Mage,Male,FE7/8 ver.,,20,25,007EFF7FFF6B1F4B2E1972569E67B74E94392F2DCA1C9C77D2596E45E92CA514
Kliff,,FE2/15: Echoes,Player,Sage,Male,,1A,22,27,007EFF7FFF6B1F4B2E199E67B74ECF3594392F2DCA1C5772D2596E45E92CA514
Kliff,,FE2/15: Echoes,Player,MageKnight,Male,,,,29,007EFF7FDF57DD3A162E4E1D9E67B74E94392F2DD2596E45D2596E45E92CA514
Kliff,,FE2/15: Echoes,Player,Shaman,Male,,1C,24,2D,007EFF7FFF6BDF2E2E197B1B3A169321BB7ED259E92C94392F2DCA1C6510A514
Kliff,,FE2/15: Echoes,Player,Druid,Male,,1E,26,2F,007EFF7FFF6B1F4B2E19FF1B9E1A5209BB7ED259E92C94392F2DCA1C6510A514
Kliff,,FE2/15: Echoes,Player,Summoner,Male,,,,31,007EFF7FFF6B1F4B2E19FF1B9E1A9E67B74EBB7ED259E92C94392F2DCA1CA520
Silque,,FE2/15: Echoes,Player,Cleric,,FE6/8 ver.,15,,4A,007EFF7FFF6B1F4B2E19DC7F557B4E52FB3E352AD26A5C7FB77ACF51E828A514
Silque,,FE2/15: Echoes,Player,Cleric,,FE7 ver.,,1D,,007EFF7FFF6B1F4B2E19DC7F557B4E52FB3E352AD26A5C7FB77ACF51E828A514
Silque,,FE2/15: Echoes,Player,Bishop_F,Female,FE6/8 ver.,17,,2C,5553FF7FFF6B1F472F19557B4E52FF431873997FD266746ECF512A35A51CA514
Silque,,FE2/15: Echoes,Player,Bishop_F,Female,FE7 ver.,,1F,,5553FF7FFF6BFF32731D557B4E52FF0BDC7F997FD2665C7FB77ACF51E828A514
Silque,,FE2/15: Echoes,Player,Valkyrie,,,25,2D,4C,007EFF7FDF57DD3A501DCA41557B4E52197F746ECF512A35FA7F3377A51CA514
Clair,,FE2/15: Echoes,Player,PegasusKnight,,,2A,32,48,007EFF7F7021BF2EFF6BFF0F953EDF5BC810EF622C4AD57B8E7307636831A514
Clair,,FE2/15: Echoes,Player,FalcoKnight,,,2B,33,49,007EFF7F7021BF2EFF6BFF0F953EDF5BC810EF622C4AD57B8E7307636831A514
Clair,,FE2/15: Echoes,Player,WyvernKnight_F,Female,,,,24,007EFF7F1F7C0000183A1E4BB02DDC7BF55E796FEF622C4A6831C418C810A514
Clive,,FE2/15: Echoes,Player,Cavalier,Male,,20,28,5,007EFF7FFF5B2F7FF4312A6A5D4B54328C7AE95D463DA3201D4736324E1DA514
Clive,,FE2/15: Echoes,Player,Paladin,Male,,22,2A,7,007EFF7FFF6FBD2ED131FF272F7F2A6A8C7AE95D463DA320BD7FD5660E4EA514
Clive,,FE2/15: Echoes,Player,GreatKnight,Male,,,,35,007EDE7BFF5B1F4BB2299466EF514A3DA5285A7FB57ECD598C7AE95D463DA514
Forsyth,,FE2/15: Echoes,Player,Soldier,,,30,38,4E,007EFF7FFF6B1F4BA70C392EB3212D159877F36EEC51BC2BD51EEE15070DA514
Forsyth,,FE2/15: Echoes,Player,Halberdier,,Custom,8D,8D,8D,007EFF6B1E4B182A2E19D51EEE15070D392EB3212D159877F472EC51FF7FA514
Forsyth,,FE2/15: Echoes,Player,General,Male,,0E,16,0B,007EFF7FBD5FDA3AB3212D15B315A90059676E5AAA41FE53BC2BD51EEE15A514
Python,,FE2/15: Echoes,Player,Archer,Male,,10,18,19,007EFF7FFF6B1F4B4B2D2C526835C41CDF7F9556777F947FAF6ECA49E524A514
Python,,FE2/15: Echoes,Player,Sniper,Male,,12,1A,1B,007EFF7FFF6B1F4B2E192C526835C41CDF7F95564B2D947FAF6ECA49E524A514
Python,,FE2/15: Echoes,Player,Ranger,Male,,,,1D,5553FF7FFF4BBD2EF41D95562C526835947FAF6ECA49E524FC22DF7F2D11A514
Luthier,,FE2/15: Echoes,Player,Mage,Male,FE6 ver.,18,,,5553FF7FFF6B1F4B2E1938367E47FC21F2314C21A6109F5B5E329421CA10A514
Luthier,,FE2/15: Echoes,Player,Mage,Male,FE7/8 ver.,,20,25,007EFF7FFF6B1F4B2E1972567E47FC21F2314C21A6109C775E329421CA10A514
Luthier,,FE2/15: Echoes,Player,Sage,Male,,1A,22,27,007EFF7FFF6B1F4B2E197E47FC215315F2314C21A610FF465E329421CA10A514
Luthier,,FE2/15: Echoes,Player,MageKnight,Male,,,,29,007EFF7FDF57DD3A162E4E1D7E47FC21F2314C215E3294215E32D7252F19A514
Mathilda,,FE2/15: Echoes,Player,Cavalier_F,Female,,20,29,6,5553FF7FFF5B2F7FF4312A6A9D5374368C7AE95D463DA3201D4736324E1DA514
Mathilda,,FE2/15: Echoes,Player,Paladin_F,Female,,22,2B,8,007EFF7FFF6FBD2ED131FF279D5374368C7AE95D463DA320BD7FD5660E4EA514
