Character Name,Character Notes,Character Set,Player or Boss,Class Name,Class Notes 1,Class Notes 2,FE6 Hex Address,FE7 Hex Address,FE8 Hex Address,Palette Hex
Batta,,FE7: The Blazing Blade,Boss,Brigand,,,31,39,41,5553FF7FFF6B1D475A32D621FF079E02B97B14736F5E2E19552BB016A801A514
Batta,,FE7: The Blazing Blade,Boss,Warrior,,,0B,13,40,007EFF7FFF6BFF465A32D6212E197A6B987FD1660C521046552BB016A801A514
Batta,,FE7: The Blazing Blade,Boss,Berserker,,,33,3B,43,007EFF7FFF6B1D47392EB51D2E19F65A9877F36E2D56FF07552BB016A801A514
Zugu,,FE7: The Blazing Blade,Boss,Brigand,,,31,39,41,5553FF7FFF6B1D475A32D6217B57743EB97B14736F5E2E195A2BD512CD01A514
Zugu,,FE7: The Blazing Blade,Boss,Warrior,,,0B,13,40,007EFF7FFF6BFF465A32D6212E197A6B987FD1660C5210465A2BD512CD01A514
Zugu,,FE7: The Blazing Blade,Boss,Berserker,,,33,3B,43,007EFF7FFF6B1D47392EB51D2E19F65A9877F36E2D56FF075A2BD512CD01A514
Glass,,FE7: The Blazing Blade,Boss,Mercenary,,FE6 ver.,2,,,5553FF7FAE00F4004E5A987735073002F36E3B01FF6B9E4B4F199C426B01A514
Glass,,FE7: The Blazing Blade,Boss,Mercenary,Male,FE7/8 ver.,,0A,0F,5553FF7F4E19F4000C52987735073002F36E3B01DF5FD6216B011F4BAE00A514
Glass,,FE7: The Blazing Blade,Boss,Hero,Male,,4,0C,11,007EFF7FFF6B1F4B2E1D350730026B019877F36E4E5A3B01F400AE00372EA514
Glass,,FE7: The Blazing Blade,Boss,Ranger,Male,,,,1D,5553FF7FFF4BBD2EF41D4E19350730023B01F400AE0067001D47D6214E1DA514
Migal,,FE7: The Blazing Blade,Boss,Brigand,,,31,39,41,5553FF7FFF6B1D475A32D6215A43342EB97B14736F5E2E191C3E7A259310A514
Migal,,FE7: The Blazing Blade,Boss,Warrior,,,0B,13,40,007EFF7FFF6BFF465A32D6212E197A6B987FD1660C5210461C3E7A259310A514
Migal,,FE7: The Blazing Blade,Boss,Berserker,,,33,3B,43,007EFF7FFF6B1D47392EB51D2E19F65A9877F36E2D56FF071C3E7A259310A514
Carjiga,,FE7: The Blazing Blade,Boss,Brigand,,,31,39,41,5553FF7FFF6B1D475A32D621D45ACD39B97B14736F5E2E197359D04C4830A514
Carjiga,,FE7: The Blazing Blade,Boss,Warrior,,,0B,13,40,007EFF7FFF6BFF465A32D6212E197A6B987FD1660C5210467359D04C4830A514
Carjiga,,FE7: The Blazing Blade,Boss,Berserker,,,33,3B,43,007EFF7FFF6B1D47392EB51D2E19F65A9877F36E2D56FF077359D04C4830A514
Bug,,FE7: The Blazing Blade,Boss,Brigand,,,31,39,41,5553FF7FFF6B1D475A32D621926EAB4DB97B14736F5E2E19BA65F6586F3CA514
Bug,,FE7: The Blazing Blade,Boss,Warrior,,,0B,13,40,007EFF7FFF6BFF465A32D6212E197A6B987FD1660C521046BA65F6586F3CA514
Bug,,FE7: The Blazing Blade,Boss,Berserker,,,33,3B,43,007EFF7FFF6B1D47392EB51D2E19F65A9877F36E2D56FF07BA65F6586F3CA514
Bool,,FE7: The Blazing Blade,Boss,Knight,Male,,0C,14,9,555303016C0AA7013223AC165B73E51735579E6B7F43D3297B36FF7FFE7BA514
Bool,,FE7: The Blazing Blade,Boss,General,Male,,0E,16,0B,007EFF7FBE6B184FED452935D135A51459676E5AAA41F82F32236C0AA701A514
Bool,,FE7: The Blazing Blade,Boss,GreatKnight,Male,,,,35,007EDE7BBE6B184FD1359752F23D4D29A8145A7FB57ECD5932236C0AA701A514
