Character Name,Character Notes,Character Set,Player or Boss,Class Name,Class Notes 1,Class Notes 2,FE6 Hex Address,FE7 Hex Address,FE8 Hex Address,Palette Hex
Eirika,,FE8: Sacred Stones,Player,EirikaLord,,,CA,CA,02,5553FF7FFF6B1F4B182A2E19B37F897A625DFF1B9E1A94011C0176086F0CA514
Eirika,,FE8: Sacred Stones,Player,EirikaMasterLord,,,CB,CB,04,5553FF7FFF5B1F4BF431957B0F778A764351FF1B9E1A94011C0176086F0CA514
Eirika,,FE8: Sacred Stones,Player,LynLord,,,C5,02,C5,007EFF7FFF6B3F3F711DB37F897A625D567B6F5ECA499E1A1C0176086F0CA514
Eirika,,FE8: Sacred Stones,Player,BladeLord,,,C7,08,C7,007EFF7FFF6B3F3F711DB37F897A625D997F12770B569E1A1C0176086F0CA514
Eirika,,FE8: Sacred Stones,Player,Myrmidon_F,Female,,07,0F,14,5553FF7FFF6B3F4B2E19B37F897A625D567B6F5ECA491C0176086F0C680CA514
Eirika,,FE8: Sacred Stones,Player,Assassin_F,Female,,,3E,18,007EFF7F9D5FFB469401FF1BB37F897A567B6F5E9E1A9E1A1C0176086F0CA514
Eirika,,FE8: Sacred Stones,Player,Swordmaster_F,Female,,09,11,16,007EFF7FDF57BC369125B37F897A625D767F6F5ECA491C0176086F0C680CA514
Eirika,,FE8: Sacred Stones,Player,Bonewalker,,,,,54,5553FF7FFF1B9E1A9401196B5256083576086F0CE003FB7F136B2C4E6735A514
Eirika,,FE8: Sacred Stones,Player,Wight,,,,,56,5553FF7FFF1B9E1A9401FB7F136B673576086F0CE003B37F897A625D0141A514
Seth,,FE8: Sacred Stones,Player,Cavalier,Male,,20,28,05,007EFF7FFF5BF16EF4312B5657041000556F8F56C83D23291D4736324E1DA514
Seth,,FE8: Sacred Stones,Player,Paladin,Male,,22,2A,07,5553FF7FFF6F3C3BD131FF2FEF512939556F8F56C83D2329FB7FF2662C4EA514
Seth,,FE8: Sacred Stones,Player,GreatKnight,Male,,,,35,5553DE7BFF5B1F4BB229196B52568C41E7301C01B9001400F46A2B522531A514
Seth,,FE8: Sacred Stones,Player,Maelduin,,,,,5E,5553FF7FFB7FF2662C4E883557041000FF47F732D015556F8F56C83D2329A514
Franz,,FE8: Sacred Stones,Player,Cavalier,Male,,20,28,05,5553FF7FFF5B7077F431AA5EBD1B971ADA4B351B6F1649011D4736324E1DA514
Franz,,FE8: Sacred Stones,Player,Paladin,Male,,22,2A,07,5553FF7FFF6FBD2EB12DFF27FF7F9463994B351F701E8A05FB7FF2662C4EA514
Franz,,FE8: Sacred Stones,Player,GreatKnight,Male,,,,35,5553DE7BFF5B1F4BB229196B52568C41E7301A2B762A9015772BB22ACC11A514
Franz,,FE8: Sacred Stones,Player,Tarvos,,,,,5D,5553FF7FB97BF36E2F5A4839BD1B971A567B6F5E8841DA4B351B6F164901A514
Franz,,FE8: Sacred Stones,Player,Maelduin,,,,,5E,5553FF7F196B52568C41E730BD1B971AFF47F732D015DA4B351B6F164901A514
Gilliam,,FE8: Sacred Stones,Player,Knight,Male,,0C,14,09,5553802D40462642EA56694AD76FE5173557BA737F43D3295A32FF7FFE7BA514
Gilliam,,FE8: Sacred Stones,Player,General,Male,,0E,16,0B,5553FF7FBD5FDA3A6B3DC624B315C70859676E5AAA41A54EE7566346A02DA514
Gilliam,,FE8: Sacred Stones,Player,GreatKnight,Male,,,,35,5553DE7BFF5B1F4BB229196B52568C41E730525A8C4DE73CE85A42426125A514
Gilliam,,FE8: Sacred Stones,Player,Revenant,,,,,52,5553FF7F3A6F52568C41E7308C2509211F7CFF0B3C4E7729AD7F4046802DA514
Gilliam,,FE8: Sacred Stones,Player,Entombed,,,,,53,5553FF7FD76FEA564046802D9567535F1F7CFF0B3C4E77299D7E6B3DC624A514
Moulder,,FE8: Sacred Stones,Player,Parson,,Custom,AF,AF,AF,5553BF4B8E19582E2E191E37FF6BFF7FA5148E0075011A16FB3EBF4B8E21FB3E
Moulder,,FE8: Sacred Stones,Player,Priest,,,14,,45,5553DE67FF6B1F4B2E19981AB109EB04FB3E352AD26AFB3A181A9309CB08A514
Moulder,,FE8: Sacred Stones,Player,Bishop,Male,FE6 ver.,16,,,5553FF7FFF6B1F472F19582E8E19FF0BD509957BD066FB3E1A1675018E00A514
Moulder,,FE8: Sacred Stones,Player,Bishop,Male,FE7/8 ver.,,1E,2B,5553FF7FFF6B1F472F19582E8E19BF4B1A16957BD066BF4BFB3E75018E00A514
Moulder,,FE8: Sacred Stones,Player,Sage,Male,,1A,22,27,5553FF7FFF6B3F4B2E19BB3AF5218E19BA113309EB10FF5B9D5719476F11A514
Moulder,,FE8: Sacred Stones,Player,Revenant,,,,,52,5553FF7F3A6F52568C41E730582E8E191F7CFF0B3C4E7729AD7F75018E00A514
Moulder,,FE8: Sacred Stones,Player,Entombed,,,,,53,5553FF7FBF1E1A1675018E007D1A3B1A1F7CFF0B3C29D7149D7EFB3E122AA514
Vanessa,,FE8: Sacred Stones,Player,PegasusKnight,,,2A,32,48,5553FF7F7021BF2EFF6BFF0F64126B0FC8105E425A19F377896F086F4A39A514
Vanessa,,FE8: Sacred Stones,Player,FalcoKnight,,,2B,33,49,5553FF7F70219E36FF6BFF0F64126B0FC8105E425A19F67F6E7FAE7E4D2D6310
Vanessa,,FE8: Sacred Stones,Player,WyvernKnight_F,Female,,,,24,5553DE7F1F7C1F7C183A1E4BB02D9B5FB9423C47D84B14474F3A8B29C704A514
Vanessa,,FE8: Sacred Stones,Player,Gargoyle,,,,,63,5553FF7F6B0F6412A30DFA188F0C567B2D565E425A193863924AEF3D2925A514
Vanessa,,FE8: Sacred Stones,Player,Deathgoyle,,,,,64,5553FF7F6B0F6412A30DEF1364121837AF1D3141CE385E425A191415AE0CA514
Ross,,FE8: Sacred Stones,Player,Journeyman_1,,,,,3D,5553FF7FFF6B1F4B182A2E19334E8C31E7280D77C969E640787B8E5E6739A514
Ross,,FE8: Sacred Stones,Player,Fighter,,,0A,12,3F,5553FF7FFF6B1D475A32D621EE494A3DB97B14736F5E701D0D77C969E640A514
Ross,,FE8: Sacred Stones,Player,Hero,Male,,04,0C,11,5553FF7FFF6B1F4B2E1DB55AEE494A3D9877F36E4E5A0D77C969E640372EA514
Ross,,FE8: Sacred Stones,Player,Warrior,,,0B,13,40,5553FF7FFF6BFF465A32D6212E197A6B987FD1660C5210460D77C969E640A514
Ross,,FE8: Sacred Stones,Player,Pirate,,,32,3A,42,5553FF7FFF6B1D47392EB51D2E198C769877F36E4E5AAD760D778765E640A514
