Character Name,Character Notes,Character Set,Player or Boss,Class Name,Class Notes 1,Class Notes 2,FE6 Hex Address,FE7 Hex Address,FE8 Hex Address,Palette Hex
Zawana,,FE9/FE10: Radiant Dawn,Boss,Brigand,,,31,39,41,007EFF7FFF6B1D475A32D621EE56E939B97B14736F5E2E1993152F11CA0CA514
Zawana,,FE9/FE10: Radiant Dawn,Boss,Warrior,,,0B,13,40,007EFF7FFF6BFF465A32D6212E19D273987FD1660C528C4E93150D0D8708A514
Zawana,,FE9/FE10: Radiant Dawn,Boss,Berserker,,,33,3B,43,007EFF7FFF6B1D47392EB51D2E19F65AD273EE56E939FF0793152F11CA0CA514
Ikanau,,FE9/FE10: Radiant Dawn,Boss,Brigand,,,31,39,41,007EFF7FFF6B1D475A32D6211F231716B97B14736F5E2E198F492C39C824A514
Ikanau,,FE9/FE10: Radiant Dawn,Boss,Warrior,,,0B,13,40,007EFF7FFF6BFF465A32D6212E191F23987FD1660C5217168F490A318518A514
Ikanau,,FE9/FE10: Radiant Dawn,Boss,Berserker,,,33,3B,43,007EFF7FFF6B1D47392EB51D2E19F65A1F23581A9011FF078F492C39C824A514
Havetti,,FE9/FE10: Radiant Dawn,Boss,Pirate,,,32,3A,42,5553FF7FFF6B1D47392EB51D2E19FF7F9877F36E4E5AE66DE66D85550339A514
Havetti,,FE9/FE10: Radiant Dawn,Boss,Warrior,,,0B,13,40,007EFF7FFF6BFF465A32D6212E19DA33987FD1660C529222E66D4449A224A514
Havetti,,FE9/FE10: Radiant Dawn,Boss,Berserker,,,33,3B,43,007EFF7FFF6B1D47392EB51D2E19F65ADA33F426ED19FF07E66D85550339A514
Maijin,,FE9/FE10: Radiant Dawn,Boss,Knight,Male,,0C,14,09,007EC6182925D0118C31B81AEF3DE51735577F230E37871D4B2ADE7BFE7BA514
Maijin,,FE9/FE10: Radiant Dawn,Boss,General,Male,,0E,16,0B,007EFF7F7F23B81A0E370926D011E80859676E5AAA41524AEF3D8C312925A514
Maijin,,FE9/FE10: Radiant Dawn,Boss,GreatKnight,Male,,,,35,007EDE7B7F23B81AD01114536F3ECA2925155A7FB57ECD59EF3D8C312925A514
Dakova,,FE9/FE10: Radiant Dawn,Boss,Knight,Male,,0C,14,09,007EC6182925D0118C31B81AEF3DE51735577F234E7A273DCB5DDE7BFE7BA514
Dakova,,FE9/FE10: Radiant Dawn,Boss,General,Male,,0E,16,0B,007EFF7F7F23B81A4E7A8951D011E80859676E5AAA41524AEF3D8C312925A514
Dakova,,FE9/FE10: Radiant Dawn,Boss,GreatKnight,Male,,,,35,007EDE7B7F23B81AD0119462EF4D4A39A5245A7FB57ECD59EF3D8C312925A514
Emil,,FE9/FE10: Radiant Dawn,Boss,Soldier,,,30,38,4E,007EFF7FFF6B1F4BA910DB2D75250F1DED630A4B0732F03D8D312A25C718A514
Emil,,FE9/FE10: Radiant Dawn,Boss,Halberdier,,Custom,8D,8D,8D,007EFF7FFF6B98771E4B0A4BF472182AF03D483AEC5185258D312E190921A514
Emil,,FE9/FE10: Radiant Dawn,Boss,General,Male,,0E,16,0B,007EFF7FDD73F6560A4B0732EF39081D59676E5AAA41534AF03D8D312A25A514
Balmer,,FE9/FE10: Radiant Dawn,Boss,Mage,Male,FE6 ver.,18,,,5553FF7FFF6B1F4B2E19383632672C465C0855082E04945210428C310821A514
Balmer,,FE9/FE10: Radiant Dawn,Boss,Mage,Male,FE7/8 ver.,,20,25,007EFF7FFF6B1F4B2E19725632672C465C0855082E049C7710428C310821A514
Balmer,,FE9/FE10: Radiant Dawn,Boss,Sage,Male,,1A,22,27,007EFF7FFF6B1F4B2E1932676E4EA9355C0855082E04945210428C310821A514
Balmer,,FE9/FE10: Radiant Dawn,Boss,MageKnight,Male,,,,29,007EFF7FDF57DD3A162E4E1D32672C465C08330410426B2D734EEF3D4A29A514
Kamura,,FE9/FE10: Radiant Dawn,Boss,Knight,Male,,0C,14,09,007EC6182925CF458C31B76AEF3DE51735579E7F923A491DEE2DDE7BFE7BA514
Kamura,,FE9/FE10: Radiant Dawn,Boss,General,Male,,0E,16,0B,007EFF7F9E7FB76A923AAC25CF45E82459676E5AAA41524AEF3D8C312925A514
Kamura,,FE9/FE10: Radiant Dawn,Boss,GreatKnight,Male,,,,35,007EDE7B9E7FB76ACF45F552503EAB2906155A7FB57ECD59EF3D8C312925A514
Nedata,,FE9/FE10: Radiant Dawn,Boss,Pirate,,,32,3A,42,5553FF7FFF6B1D47392EB51D2E19FF7F9877F36E4E5ACD32CD322A266719A514
Nedata,,FE9/FE10: Radiant Dawn,Boss,Warrior,,,0B,13,40,007EFF7FFF6BFF465A32D6212E195C7B987FD1660C523352CD32E9210511A514
Nedata,,FE9/FE10: Radiant Dawn,Boss,Berserker,,,33,3B,43,007EFF7FFF6B1D47392EB51D2E19F65A5C7B955EAE3DFF07CD322A266719A514
Kotaff,,FE9/FE10: Radiant Dawn,Boss,Soldier,,,30,38,4E,007EFF7FFF6B1F4B6708B9195311ED0C75751059AB3CF03D8D312A25C718A514
Kotaff,,FE9/FE10: Radiant Dawn,Boss,Halberdier,,Custom,8D,8D,8D,007EFF7FFF6B98771E4B1059F472182AF03DCC44EC51882C8D312E190921A514
Kotaff,,FE9/FE10: Radiant Dawn,Boss,General,Male,,0E,16,0B,007EFF7F9E7FBA6E1059AB3CD149E92459676E5AAA41534AF03D8D312A25A514
Danomill,,FE9/FE10: Radiant Dawn,Boss,Knight,Male,,0C,14,09,007EC6182925F0358C31F84EEF3DE5173557DF671F17900D5812DE7BFE7BA514
